Date,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
2020-03-25,Deceased,11,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2020-03-25,Recovered,43,0,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,3,4,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,11,0,0,0
2020-03-26,Confirmed,722,1,11,0,0,7,7,6,0,0,36,3,43,32,3,14,0,55,137,13,0,20,125,1,0,1,0,3,1,33,40,0,29,44,0,42,5,10,0
2020-03-26,Deceased,16,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2020-03-26,Recovered,50,0,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,3,11,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,11,0,0,0
2020-03-27,Confirmed,886,6,13,0,0,9,8,6,0,0,40,3,47,33,3,20,0,64,176,13,0,29,156,1,0,1,0,3,1,38,50,0,38,59,0,49,5,15,0
2020-03-27,Deceased,19,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,3,0,0,0,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2020-03-27,Recovered,76,0,1,0,0,0,0,0,0,0,6,0,0,11,1,1,0,5,11,3,0,0,19,0,0,0,0,0,0,1,3,0,2,1,0,11,0,0,0
2020-03-28,Confirmed,1029,9,19,0,0,11,8,7,0,0,49,3,55,35,3,33,0,81,182,13,0,39,186,1,0,1,0,3,1,38,54,0,42,67,0,65,6,18,0
2020-03-28,Deceased,24,0,0,0,0,1,0,0,0,0,1,0,4,0,1,1,0,3,1,0,0,2,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
2020-03-28,Recovered,85,0,1,0,0,0,0,0,0,0,6,0,0,11,2,1,0,5,12,3,0,0,25,0,0,0,0,0,0,1,3,0,2,1,0,11,1,0,0
2020-03-29,Confirmed,1139,9,21,0,0,15,8,7,0,0,72,5,63,35,3,38,0,83,202,13,0,39,203,1,0,1,0,3,1,38,59,0,50,70,0,72,7,21,0
2020-03-29,Deceased,27,0,0,0,0,1,0,0,0,0,2,0,5,0,1,1,0,3,1,0,0,2,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
2020-03-29,Recovered,90,0,1,0,0,0,0,0,0,0,6,0,1,11,2,1,0,5,16,3,0,0,25,0,0,0,0,0,0,1,3,0,2,1,0,11,1,0,0
2020-03-30,Confirmed,1326,10,23,0,0,15,13,8,0,0,97,5,70,36,3,49,0,88,234,13,0,47,220,1,0,1,0,3,1,41,79,0,67,77,0,96,7,22,0
2020-03-30,Deceased,40,0,0,0,0,1,0,0,0,0,2,0,6,0,1,1,0,3,1,0,0,4,9,0,0,0,0,0,0,3,0,0,1,6,0,0,0,2,0
2020-03-30,Recovered,139,0,1,0,0,0,0,0,0,0,6,0,3,17,2,1,0,6,20,3,0,0,39,0,0,0,0,0,0,1,3,0,4,14,0,17,2,0,0
2020-03-31,Confirmed,1635,10,44,0,1,21,15,9,0,0,120,5,74,43,3,55,1,101,241,13,0,66,302,1,0,1,0,4,1,42,93,0,124,97,0,104,7,37,0
2020-03-31,Deceased,46,0,0,0,0,1,0,0,0,0,2,0,6,0,1,2,0,3,2,0,0,5,10,0,0,0,0,0,0,4,0,0,1,6,0,0,0,3,0
2020-03-31,Recovered,154,0,1,0,0,0,0,2,0,0,6,0,5,17,2,1,0,8,24,3,0,0,39,0,0,0,0,0,0,1,3,0,6,14,0,17,2,3,0
2020-04-01,Confirmed,2059,10,111,0,16,24,17,9,0,0,152,5,87,43,3,62,1,110,265,13,0,98,335,1,0,1,0,5,3,46,120,0,234,127,0,117,7,37,0
2020-04-01,Deceased,55,0,0,0,0,1,0,0,0,0,2,0,6,0,1,2,0,3,2,0,0,6,13,0,0,0,0,0,0,4,0,0,1,9,0,2,0,3,0
2020-04-01,Recovered,170,0,2,0,0,0,0,2,0,0,6,0,5,27,2,2,0,9,26,3,0,0,39,0,0,0,0,1,0,1,3,0,6,14,0,17,2,3,0
2020-04-02,Confirmed,2545,10,149,1,16,29,18,9,0,0,293,5,88,49,6,70,2,124,286,13,0,107,423,2,0,1,0,5,5,47,133,0,309,154,0,128,10,53,0
2020-04-02,Deceased,69,0,0,0,0,1,0,0,0,0,4,0,7,0,1,2,0,3,2,0,0,8,21,0,0,0,0,0,0,5,0,0,1,9,0,2,0,3,0
2020-04-02,Recovered,192,0,2,0,0,3,0,3,0,0,8,0,10,27,2,3,0,11,28,3,0,0,42,0,0,0,0,1,0,1,3,0,6,17,0,17,2,3,0
2020-04-03,Confirmed,3105,10,164,1,23,31,18,9,0,0,386,6,95,58,6,75,2,128,295,14,0,154,487,2,0,1,0,20,5,53,179,0,411,229,0,174,16,53,0
2020-04-03,Deceased,83,0,1,0,0,1,0,0,0,0,6,0,9,0,2,2,0,4,2,0,0,8,26,0,0,0,0,0,0,5,0,0,1,11,0,2,0,3,0
2020-04-03,Recovered,230,0,2,0,0,3,0,3,0,0,8,0,10,27,2,3,0,11,42,3,0,0,50,0,0,0,0,2,0,1,3,0,6,32,0,17,2,3,0
2020-04-04,Confirmed,3684,10,192,1,26,32,18,10,0,0,445,7,108,84,13,92,2,144,306,14,0,179,635,2,0,1,0,21,5,65,206,0,485,272,0,234,22,53,0
2020-04-04,Deceased,96,0,1,0,0,1,0,0,0,0,6,0,10,0,2,2,0,4,2,0,0,11,32,0,0,0,0,0,0,5,1,0,3,11,0,2,0,3,0
2020-04-04,Recovered,286,0,2,0,0,3,3,3,0,0,16,0,13,28,2,3,0,11,50,3,0,0,52,0,0,0,0,2,0,3,25,0,8,33,0,21,2,3,0
2020-04-05,Confirmed,4293,10,256,1,26,32,18,10,0,0,503,7,128,90,14,106,3,151,314,14,0,193,747,2,0,1,0,39,5,68,266,0,571,334,0,278,26,80,0
