TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
231211,12,4592,96,3255,3818,195,1340,53,0,32189,573,15283,6915,299,3621,1339,5057,1624,598,0,6257,68935,435,27,120,136,2866,162,2730,7803,67,35092,3786,940,9284,1100,8420,2193
8638,0,58,0,5,22,5,8,0,0,1471,0,937,110,3,41,6,70,12,1,0,283,4110,0,1,0,0,8,4,49,193,0,414,127,1,295,21,384,0
122513,28,2224,7,2243,3477,145,863,9,0,10902,47,10934,3026,271,2217,959,3579,982,56,0,5213,34098,149,27,1,103,2022,79,1655,6145,5,16480,2301,446,6006,1136,4678,0
232133,13,4630,96,3255,3820,195,1340,53,0,32256,573,15453,6923,302,3635,1342,5101,1625,598,0,6403,69055,435,27,120,136,2866,162,2744,7901,67,35148,3852,940,9328,1103,8444,2193
8676,0,58,0,5,22,5,8,0,0,1475,0,942,110,3,42,6,70,12,1,0,297,4117,0,1,0,0,8,4,49,199,0,414,127,1,296,21,384,0
122786,28,2239,7,2247,3477,145,864,9,0,10922,47,10947,3047,271,2221,959,3585,992,56,0,5213,34129,149,27,1,103,2024,79,1656,6164,5,16583,2301,446,6020,1136,4687,0
245241,13,4981,100,3439,3950,200,1420,58,0,34670,600,15973,7483,327,3743,1399,5305,1700,636,0,6564,72362,487,26,120,150,3041,191,2870,8227,69,37322,4121,983,9911,1184,8835,2782
9017,0,60,0,5,22,5,8,0,0,1542,0,969,122,3,43,7,78,12,1,0,303,4231,0,1,0,0,8,5,55,204,0,462,128,1,326,22,395,0
129676,28,2367,10,2478,3682,149,1029,12,0,11879,58,11295,3251,278,2354,989,3933,1082,63,0,5449,35444,182,30,1,103,2097,89,1733,6669,5,17425,2345,446,6355,1174,5192,0
245252,13,4981,100,3439,3950,200,1420,58,0,34671,600,15973,7484,327,3743,1399,5307,1700,636,0,6564,72365,487,26,120,150,3041,191,2870,8227,69,37322,4122,983,9913,1184,8836,2782
9018,0,60,0,5,22,5,8,0,0,1542,0,969,122,3,43,7,78,12,1,0,303,4232,0,1,0,0,8,5,55,204,0,462,128,1,326,22,395,0
129677,28,2367,10,2478,3682,149,1029,12,0,11879,58,11295,3251,278,2354,989,3933,1082,63,0,5449,35444,182,30,1,103,2097,89,1733,6669,5,17425,2345,446,6356,1174,5192,0
250301,13,5006,100,3447,4092,200,1438,58,0,35093,609,16364,7507,329,3805,1405,5362,1714,636,0,6751,74712,487,26,120,150,3132,191,2888,8469,69,37961,4164,981,10119,1185,8937,2782
9170,0,61,0,5,22,5,8,0,0,1561,0,1003,123,3,44,7,79,12,1,0,308,4295,0,1,0,0,9,5,58,209,0,466,128,1,334,22,401,0
132215,28,2470,10,2479,3682,149,1030,12,0,12155,58,11486,3299,279,2387,989,3946,1082,63,0,5537,36044,182,30,1,103,2121,89,1842,6780,5,18059,2366,467,6551,1175,5259,0
251672,15,5037,100,3447,4093,202,1438,58,0,35279,609,16641,7516,330,3818,1406,5387,1718,636,0,6843,75039,487,28,120,150,3133,191,2911,8591,69,38010,4207,981,10245,1187,8969,2782
9205,0,63,0,5,23,5,8,0,0,1562,0,1015,123,3,44,7,80,12,1,0,308,4305,0,1,0,0,9,5,60,213,0,466,128,1,334,22,403,0
132641,28,2477,10,2482,3687,149,1031,12,0,12290,58,11493,3313,279,2396,989,3962,1084,63,0,5594,36078,182,30,1,103,2124,92,1843,6797,5,18141,2366,467,6577,1175,5263,0
265501,16,5462,100,3656,4193,206,1520,62,0,38156,658,17151,7902,340,3967,1429,5597,1815,636,0,7025,78791,541,28,129,150,3307,217,3029,8906,69,40151,4559,1002,10849,1267,9404,3212
9548,0,65,0,6,28,5,8,0,0,1627,0,1046,127,3,51,8,92,13,1,0,312,4405,0,1,0,0,9,6,65,230,0,515,131,1,357,22,415,0
143382,30,2608,11,2688,3872,149,1134,14,0,16174,71,11882,3917,284,2626,1036,4138,1173,66,0,5838,37750,189,31,1,109,2221,99,1875,7072,6,19158,2596,550,6976,1307,5731,0
265538,16,5462,100,3656,4193,206,1520,62,0,38158,658,17151,7903,340,3968,1429,5602,1815,644,0,7025,78794,541,28,129,150,3308,217,3030,8909,69,40152,4567,1002,10851,1268,9404,3212
9548,0,65,0,6,28,5,8,0,0,1627,0,1046,127,3,51,8,92,13,1,0,312,4405,0,1,0,0,9,6,65,230,0,515,131,1,357,22,415,0
143382,30,2608,11,2688,3872,149,1134,14,0,16174,71,11882,3917,284,2626,1036,4138,1173,66,0,5838,37750,189,31,1,109,2221,99,1875,7072,6,19158,2596,550,6976,1307,5731,0
270166,16,5514,100,3671,4296,211,1530,62,0,38457,667,17517,7921,350,4074,1434,5701,1844,644,0,7284,80799,541,28,129,150,3356,217,3046,9214,69,40688,4608,1002,10992,1272,9551,3212
9679,0,65,0,8,29,5,8,0,0,1639,0,1081,127,3,53,8,92,13,1,0,316,4456,0,1,0,0,9,6,67,237,0,518,131,1,363,22,421,0
145864,30,2704,11,2688,3916,152,1134,14,0,16457,71,12187,3953,286,2660,1050,4159,1173,85,0,5870,38499,189,32,1,109,2278,99,2056,7235,6,19392,2606,554,7123,1307,5778,0
271746,17,5558,100,3671,4306,214,1530,62,0,38567,667,17884,7939,350,4087,1442,5707,1846,644,0,7289,81351,541,28,129,150,3356,217,3056,9341,69,40793,4657,1002,11117,1274,9574,3212
9717,0,66,0,8,29,5,8,0,0,1641,0,1091,127,3,53,8,94,13,1,0,319,4468,0,1,0,0,9,6,67,239,0,518,134,1,366,22,421,0
146252,30,2727,11,2693,3916,156,1134,14,0,16540,72,12199,3957,286,2665,1050,4166,1186,85,0,5874,38641,189,32,1,109,2278,99,2062,7240,6,19438,2606,554,7142,1309,5785,0
286384,19,6023,132,3671,4556,221,1602,76,0,41704,687,18424,8464,382,4212,1484,6044,1964,701,0,7445,85178,616,28,129,155,3521,233,3273,9640,69,42908,5156,1029,11926,1348,9929,3436
10081,0,70,0,8,34,5,9,0,0,1707,0,1118,137,3,57,8,103,13,1,0,328,4610,0,1,0,0,9,7,76,242,0,559,137,1,385,22,432,0
155281,30,2860,14,2911,4053,165,1237,14,0,18768,81,12539,4290,298,2715,1187,4396,1282,85,0,5990,40576,208,32,9,125,2431,101,2128,7495,22,21068,2657,572,7499,1356,6087,0
286411,19,6025,132,3671,4556,222,1603,76,0,41708,687,18426,8465,382,4212,1484,6045,1965,701,0,7445,85182,616,28,129,155,3521,233,3273,9642,69,42909,5159,1029,11929,1349,9929,3436
10082,0,70,0,8,34,5,9,0,0,1707,0,1118,137,3,57,8,103,13,1,0,328,4610,0,1,0,0,9,7,77,242,0,559,137,1,385,22,432,0
155286,30,2860,14,2911,4053,165,1237,14,0,18769,81,12539,4290,298,2715,1187,4396,1282,85,0,5990,40576,208,32,9,125,2431,101,2128,7495,22,21068,2657,572,7503,1356,6087,0
292565,19,6082,132,3713,4652,225,1608,76,0,42208,695,18821,8501,384,4240,1504,6194,1977,701,0,7674,87260,618,28,129,155,3623,238,3295,9980,69,43597,5201,1037,12250,1364,10066,4250
10228,0,72,0,8,34,5,9,0,0,1713,0,1143,137,4,59,8,106,13,1,0,334,4686,0,1,0,0,10,7,78,247,0,562,141,1,390,22,438,0
158318,30,2929,14,2911,4053,168,1237,14,0,19034,81,12778,4319,303,2753,1187,4409,1282,85,0,6186,41778,208,32,9,125,2461,102,2223,7614,22,21557,2666,599,7638,1356,6155,0
293804,20,6157,132,3713,4669,225,1608,76,0,42286,695,19017,8502,384,4254,1509,6212,1983,701,0,7752,87726,618,28,129,155,3636,238,3296,10078,69,43640,5215,1037,12334,1366,10095,4250
10261,0,75,0,8,34,5,9,0,0,1715,0,1151,137,4,59,8,106,13,1,0,338,4695,0,1,0,0,10,7,78,249,0,564,143,1,391,22,438,0
158737,30,2956,14,2913,4053,169,1237,14,0,19175,81,12804,4356,303,2768,1191,4410,1303,85,0,6193,41843,209,32,9,125,2461,102,2224,7614,22,21603,2666,599,7651,1363,6159,0
309722,20,6648,132,3962,4882,248,1724,93,0,45916,724,19556,8982,413,4408,1572,6628,2110,793,0,7894,91600,714,28,139,158,3815,289,3416,10459,69,46036,5761,1045,12875,1490,10536,4588
10569,0,80,0,8,34,5,10,0,0,1792,0,1171,142,4,65,8,115,13,1,0,344,4786,0,1,0,0,11,7,84,253,0,602,148,1,413,23,449,0
172711,30,3162,15,3049,4322,170,1300,26,0,26900,92,13339,4595,323,2910,1260,4593,1360,107,0,6325,43223,223,32,9,138,2698,115,2266,7891,22,22648,2820,622,8025,1380,6721,0
309780,20,6648,132,3962,4882,252,1724,93,0,45922,724,19561,8984,415,4408,1572,6628,2122,795,0,7898,91604,714,28,139,158,3815,289,3417,10467,69,46036,5764,1045,12879,1490,10537,4588
10569,0,80,0,8,34,5,10,0,0,1792,0,1171,142,4,65,8,115,13,1,0,344,4786,0,1,0,0,11,7,84,253,0,602,148,1,413,23,449,0
172714,30,3162,15,3049,4322,170,1300,26,0,26902,92,13339,4595,323,2910,1260,4594,1360,107,0,6325,43223,223,32,9,138,2698,115,2266,7891,22,22648,2820,622,8025,1380,6721,0
315500,20,6719,132,3993,5139,255,1738,93,0,46456,728,19959,9013,433,4481,1614,6695,2146,796,0,8168,93765,730,29,139,158,3889,290,3420,10637,69,46779,5791,1045,13128,1505,10679,4870
10703,0,81,0,8,34,5,10,0,0,1802,0,1201,142,4,66,8,116,13,1,0,353,4851,0,1,0,0,12,7,84,257,0,605,150,1,417,23,452,0
175827,30,3205,15,3056,4376,249,1300,26,0,27344,92,13515,4616,326,2941,1262,4607,1365,107,0,6428,43902,223,32,9,138,2734,115,2418,7958,22,23635,2822,622,8173,1381,6783,0
317037,21,6754,132,3993,5152,256,1738,93,0,46531,728,20198,9017,433,4493,1614,6705,2165,796,0,8235,94317,730,30,139,158,3894,290,3426,10796,69,46855,5847,1045,13281,1505,10732,4870
10756,0,83,0,8,34,5,10,0,0,1802,0,1220,142,4,66,8,117,13,1,0,357,4870,0,1,0,0,12,7,84,258,0,606,150,1,420,23,455,0
176530,30,3209,15,3056,4376,249,1300,26,0,27524,92,13523,4622,326,2951,1262,4624,1381,107,0,6438,44052,223,32,9,138,2740,115,2429,8027,22,23813,2830,622,8195,1382,6790,0
332188,22,7231,136,4325,5314,258,1859,98,0,49531,792,20778,9429,450,4615,1688,7158,2298,797,0,8414,98187,794,30,140,168,4198,318,3548,11189,77,49387,6577,1080,13877,1548,11146,4732
11182,0,88,0,8,36,5,10,0,0,1865,0,1245,153,4,67,8,122,13,1,0,371,5056,0,1,0,0,16,8,85,270,0,659,157,1,441,23,470,0
185605,32,3405,21,3258,4640,249,1353,27,0,29243,98,14178,5051,338,2997,1264,4850,1474,124,0,6573,45643,241,37,9,141,2926,124,2451,8350,26,25251,3055,701,8821,1432,7222,0
332266,22,7233,136,4325,5314,258,1859,98,0,49538,792,20785,9431,450,4615,1688,7163,2310,800,0,8414,98199,794,30,140,168,4198,318,3558,11196,77,49390,6579,1080,13881,1548,11148,4732
11182,0,88,0,8,36,5,10,0,0,1865,0,1245,153,4,67,8,122,13,1,0,371,5056,0,1,0,0,16,8,85,270,0,659,157,1,441,23,470,0
185605,32,3405,21,3258,4640,249,1353,27,0,29243,98,14178,5051,338,2997,1264,4850,1474,124,0,6573,45643,241,37,9,141,2926,124,2451,8350,26,25251,3055,701,8821,1432,7222,0
338289,22,7278,136,4347,5525,274,1873,98,0,50109,794,21156,9468,492,4674,1701,7306,2334,800,0,8660,100544,794,30,140,168,4249,318,3581,11408,77,50166,6617,1082,14221,1567,11242,5039
11330,0,89,0,8,36,5,10,0,0,1883,0,1269,153,4,69,8,122,13,1,0,375,5120,0,1,0,0,17,8,86,274,0,666,162,1,452,23,476,0
188736,32,3446,21,3264,4640,291,1353,27,0,29618,98,14447,5084,343,3003,1271,4865,1482,124,0,6683,47051,241,37,9,141,2976,124,2476,8431,26,25651,3078,733,8959,1432,7279,0
339581,23,7334,136,4347,5542,274,1873,98,0,50201,794,21385,9477,492,4701,1701,7315,2345,800,0,8695,100975,794,30,140,168,4253,318,3608,11561,77,50199,6632,1082,14333,1567,11273,5039
11366,0,91,0,8,36,5,10,0,0,1884,0,1282,153,4,69,8,122,13,1,0,375,5138,0,1,0,0,17,8,86,275,0,666,163,1,452,23,476,0
189130,32,3470,21,3264,4640,291,1356,27,0,29731,98,14487,5095,343,3014,1271,4867,1483,124,0,6687,47118,241,37,9,141,2978,124,2480,8501,26,25678,3078,733,8970,1436,7279,0
353141,23,7777,145,4614,5770,279,1920,113,0,53110,840,21948,9867,546,4833,1743,7564,2483,810,0,8870,104696,851,32,141,237,4396,335,3769,11863,77,52909,7504,1098,14924,1625,11686,3744
11678,0,96,0,8,37,5,11,0,0,1942,1,1303,162,4,72,8,127,13,1,0,381,5251,0,1,0,0,19,8,88,282,0,703,170,1,471,24,490,0
200009,32,3598,22,3425,4776,297,1422,27,0,33320,115,15047,5454,355,3163,1334,4978,1571,126,0,6887,49080,241,37,12,141,3121,133,2605,8814,30,27036,3352,756,9576,1457,7669,0
353208,23,7778,145,4614,5772,280,1920,113,0,53110,840,21952,9867,546,4833,1743,7570,2498,810,0,8872,104706,851,32,141,237,4396,335,3777,11867,77,52912,7510,1098,14926,1625,11689,3744
11681,0,96,0,8,38,5,11,0,0,1942,1,1304,162,4,72,8,127,13,1,0,381,5252,0,1,0,0,19,8,88,282,0,703,170,1,471,24,490,0
200009,32,3598,22,3425,4776,297,1422,27,0,33320,115,15047,5454,355,3163,1334,4978,1571,126,0,6887,49080,241,37,12,141,3121,133,2605,8814,30,27036,3352,756,9576,1457,7669,0
359744,23,7840,145,4629,5951,281,1964,113,0,53770,842,22315,9904,562,4873,1763,7708,2540,812,0,9061,107646,852,32,141,237,4482,338,3778,12134,77,53698,7572,1098,15146,1633,11824,3961
11823,0,97,0,8,40,5,11,0,0,1956,1,1333,164,4,72,8,127,14,1,0,382,5315,0,1,0,0,19,8,88,284,0,707,173,1,485,24,496,0
203289,32,3624,22,3425,4834,297,1425,27,0,33650,124,15439,5479,355,3199,1334,5004,1573,126,0,7132,49937,241,37,12,141,3164,133,2633,9009,30,27882,3359,760,9696,1457,7697,0
361411,27,7920,145,4630,5978,281,1964,113,0,53898,842,22532,9910,563,4900,1770,7726,2550,812,0,9161,108424,852,32,141,237,4488,338,3783,12210,77,53752,7599,1098,15207,1634,11857,3961
11863,0,100,0,8,40,5,11,0,0,1958,1,1342,164,4,72,9,127,14,1,0,385,5329,0,1,0,0,19,8,89,285,0,709,174,1,488,24,496,0
203931,32,3645,22,3425,4836,297,1427,27,0,33734,124,15518,5491,357,3199,1338,5018,1581,128,0,7183,49988,241,37,12,141,3165,133,2646,9116,30,27972,3417,761,9729,1458,7703,0
377067,29,8382,155,4833,6135,288,2047,122,0,57845,887,23081,10405,611,5048,1823,8048,2691,897,0,9344,111638,875,33,141,287,4655,357,3945,12605,78,56268,8478,1121,15778,1767,12227,4144
12331,0,108,0,8,42,5,11,0,0,2026,2,1368,173,4,74,9,135,15,1,0,389,5577,0,1,0,0,22,9,93,294,0,748,177,1,507,26,507,0
214393,35,3802,38,3622,5096,297,1467,27,0,36445,177,16122,6073,360,3310,1389,5292,1641,140,0,7303,51913,249,41,19,141,3290,149,2868,9419,30,29199,3636,786,10244,1539,8234,0
377169,29,8383,155,4833,6136,289,2047,122,0,57848,887,23093,10412,612,5048,1823,8055,2719,897,0,9344,111661,875,33,141,287,4655,357,3947,12609,78,56271,8484,1121,15780,1768,12227,4144
12333,0,108,0,8,42,5,11,0,0,2026,2,1368,173,5,74,9,135,15,1,0,389,5577,0,1,0,0,22,9,93,294,0,748,177,1,507,26,508,0
214405,35,3802,38,3622,5096,297,1467,27,0,36445,177,16122,6084,360,3310,1389,5293,1641,140,0,7303,51913,249,41,19,141,3290,149,2868,9419,30,29199,3636,786,10244,1539,8234,0
383832,29,8430,155,4954,6364,295,2089,123,0,58439,888,23489,10476,629,5128,1850,8271,2781,900,0,9545,114269,878,33,141,287,4735,357,3963,12857,79,57030,8536,1137,16062,1859,12354,4423
12475,0,109,0,8,42,5,11,0,0,2049,2,1395,173,5,75,9,136,15,1,0,398,5637,0,1,0,0,22,9,93,301,0,753,178,1,510,26,512,0
216981,35,3850,38,3624,5120,298,1469,27,0,36815,177,16411,6128,362,3364,1394,5304,1644,140,0,7481,52734,249,41,19,141,3351,149,2891,9525,30,29562,3661,786,10326,1541,8294,0
385240,36,8492,155,4954,6417,295,2089,123,0,58577,888,23680,10481,629,5148,1856,8300,2784,900,0,9704,114659,878,33,141,287,4740,357,3978,12927,79,57102,8549,1137,16173,1860,12412,4423
12534,0,111,0,8,42,5,11,0,0,2052,2,1410,173,5,75,9,137,16,1,0,407,5655,0,1,0,0,22,9,93,305,0,755,178,1,511,26,515,0
217465,35,3854,38,3624,5120,299,1469,27,0,36864,177,16418,6144,362,3381,1394,5311,1659,140,0,7488,52851,249,41,19,141,3351,149,2895,9567,30,29676,3700,786,10346,1542,8318,0
402108,42,8989,157,5180,6640,297,2123,136,0,62365,930,24252,10971,660,5334,1882,8697,2936,900,0,9891,118548,927,33,144,304,5022,416,4208,13309,83,59967,9440,1137,16837,1948,12857,4549
12958,0,121,1,8,43,5,11,0,0,2116,2,1435,183,5,76,10,151,16,1,0,416,5863,0,1,0,0,22,9,101,315,0,788,183,1,519,31,526,0
230554,36,4041,38,3820,5199,299,1543,30,0,38988,261,16993,6571,396,3557,1449,5460,1740,266,0,7626,57012,319,41,24,148,3486,160,2947,9965,40,32100,3837,883,10816,1661,8802,0
402172,42,8990,157,5180,6640,297,2123,136,0,62365,930,24256,10973,660,5336,1882,8705,2950,900,0,9892,118558,928,33,144,304,5022,416,4214,13309,83,59973,9444,1137,16840,1948,12859,4549
12959,0,121,1,8,43,5,11,0,0,2116,2,1435,183,5,76,10,151,16,1,0,416,5863,0,1,0,0,22,9,101,315,0,789,183,1,519,31,526,0
230559,36,4041,38,3820,5199,299,1543,30,0,38989,261,16993,6571,396,3557,1449,5461,1741,266,0,7626,57012,319,41,24,148,3486,160,2947,9965,40,32100,3837,883,10818,1661,8802,0
409283,42,9056,158,5226,6820,334,2161,136,0,62873,941,24650,11026,678,5388,1902,8835,3003,903,0,10186,121599,931,33,144,304,5089,431,4229,13595,83,60738,9485,1140,17091,2021,13067,4988
13115,0,121,1,8,43,6,11,0,0,2146,2,1464,183,5,76,11,151,17,1,0,425,5921,0,1,0,0,22,9,102,318,0,797,187,1,525,33,529,0
233844,36,4103,38,3821,5248,299,1543,30,0,39262,261,17236,6586,398,3592,1456,5507,1746,266,0,7767,58208,321,41,24,148,3539,162,2975,10027,40,32933,3861,896,10950,1664,8860,0
411118,46,9117,158,5226,6848,335,2162,136,0,62984,941,24906,11038,678,5428,1910,8861,3010,905,0,10285,122410,931,33,144,304,5095,432,4239,13644,83,60804,9492,1140,17263,2021,13124,4988
13159,0,123,1,8,43,6,11,0,0,2147,2,1470,183,5,77,11,151,17,1,0,432,5943,0,1,0,0,22,9,102,320,0,798,187,1,527,33,529,0
234286,36,4129,38,3821,5249,299,1545,30,0,39274,261,17253,6591,402,3595,1456,5513,1753,266,0,7838,58327,321,41,24,148,3540,162,2977,10047,40,33027,3877,896,10985,1665,8860,0
429323,48,9670,170,5590,7063,338,2199,156,0,66374,985,25483,11491,711,5555,1954,9303,3133,914,0,10432,127252,1017,33,144,312,5305,473,4381,13931,85,64313,10412,1172,17899,2089,13599,5340
13560,0,130,1,8,44,6,11,0,0,2211,2,1488,193,6,79,11,157,17,1,0,440,6135,0,1,0,0,22,9,109,324,0,843,192,1,542,34,544,0
248269,36,4338,42,3896,5623,306,1673,38,0,42602,307,17663,7046,410,3744,1486,6032,1806,350,0,7984,61988,347,42,30,160,3708,173,3070,10276,40,35263,4204,1018,11518,1702,9348,0
429413,48,9672,170,5590,7064,338,2201,156,0,66379,988,25487,11492,711,5560,1954,9313,3142,914,0,10440,127267,1017,33,145,312,5305,473,4383,13937,85,64321,10416,1172,17902,2090,13599,5340
13561,0,130,1,8,44,6,11,0,0,2211,2,1488,193,6,79,11,157,17,1,0,441,6135,0,1,0,0,22,9,109,324,0,843,192,1,542,34,544,0
248272,36,4339,42,3896,5623,306,1673,38,0,42602,307,17663,7046,410,3745,1486,6032,1806,350,0,7984,61989,347,42,30,160,3708,173,3070,10276,40,35263,4204,1018,11518,1702,9348,0
435827,48,9778,170,5746,7227,342,2241,156,0,67014,989,25892,11521,731,5607,1989,9406,3191,915,0,10634,129703,1021,34,145,315,5407,481,4404,14209,85,65126,10482,1176,18131,2122,13748,5644
13711,0,130,1,8,46,6,11,0,0,2226,2,1518,193,6,81,11,159,17,1,0,451,6195,0,1,0,0,22,9,109,328,0,850,195,1,550,35,550,0
251284,36,4390,42,3901,5654,314,1676,38,0,42833,310,17887,7083,414,3745,1486,6083,1818,350,0,8147,63175,347,42,30,160,3807,178,3085,10484,40,35670,4276,1018,11640,1702,9423,0
437434,48,9859,170,5746,7253,350,2241,156,0,67307,989,26122,11530,731,5636,2004,9409,3202,915,0,10779,130143,1021,34,145,315,5410,481,4418,14311,85,65190,10493,1176,18211,2125,13788,5644
13767,0,130,1,8,46,6,11,0,0,2226,2,1536,193,6,81,11,160,17,1,0,455,6214,0,1,0,0,22,9,110,335,0,851,195,1,553,35,552,0
251869,36,4450,42,3909,5665,316,1676,38,0,42841,310,17918,7091,414,3770,1491,6107,1822,350,0,8168,63287,347,42,30,160,3808,178,3097,10600,40,35730,4285,1018,11706,1702,9425,0
455690,62,10464,172,6019,7443,352,2330,171,0,70767,1033,26702,11951,756,5849,2035,9854,3352,920,0,10982,135167,1040,36,147,331,5628,513,4606,14675,87,68835,11478,1212,18961,2159,14330,5274
14148,0,140,1,8,46,6,12,0,0,2289,2,1554,206,6,82,11,170,17,1,0,459,6389,0,1,0,0,22,9,112,336,0,897,202,1,572,36,562,0
262115,38,4658,49,4123,5854,322,1832,50,0,45167,345,18450,7727,434,3883,1533,6353,1887,459,0,8353,65649,386,42,47,162,3939,194,3106,10822,40,37088,4363,1054,12170,1766,9770,0
455755,63,10465,172,6019,7446,352,2333,171,0,70768,1033,26707,11952,756,5852,2035,9858,3371,920,0,10987,135170,1040,36,147,331,5629,513,4608,14677,87,68838,11481,1212,18965,2159,14331,5274
14153,0,140,1,8,46,6,12,0,0,2289,2,1556,206,6,83,11,171,17,1,0,459,6390,0,1,0,0,22,9,112,336,0,897,202,1,572,36,562,0
262122,38,4658,49,4123,5854,322,1832,50,0,45167,345,18450,7727,434,3883,1533,6353,1894,459,0,8353,65649,386,42,47,162,3939,194,3106,10822,40,37088,4363,1054,12170,1766,9770,0
461662,63,10562,172,6153,7677,364,2401,171,0,71180,1033,27068,12044,780,5943,2056,9959,3438,920,0,11152,137261,1043,41,147,332,5708,513,4633,14913,87,69484,11593,1246,19192,2210,14524,5602
14326,0,141,1,8,47,6,12,0,0,2301,2,1583,206,6,84,11,171,18,1,0,464,6487,0,1,0,0,22,9,112,339,0,908,203,1,580,36,567,0
265707,38,4783,49,4123,5921,322,1844,50,0,45350,354,18951,7749,434,3907,1538,6412,1904,459,0,8471,66817,386,42,47,162,4023,194,3111,11042,40,37699,4483,1054,12334,1772,9842,0
463230,63,10642,172,6153,7746,373,2401,171,0,71370,1033,27315,12049,780,5966,2077,9968,3451,920,0,11227,137783,1043,41,147,332,5723,513,4641,14990,87,69536,11595,1246,19305,2210,14562,5602
14384,0,141,1,8,47,6,12,0,0,2301,2,1594,206,6,85,11,172,18,1,0,471,6514,0,1,0,0,22,9,113,348,0,908,203,1,581,36,567,0
266287,38,4787,49,4123,5921,322,1844,50,0,45350,354,19032,7763,437,3934,1542,6423,1917,459,0,8526,66911,386,42,47,162,4025,195,3125,11157,40,37753,4499,1054,12406,1772,9842,0
463394,68,10644,172,6153,7748,374,2401,171,0,71374,1033,27319,12050,780,5972,2077,9977,3490,920,0,11236,137814,1043,41,147,332,5723,513,4646,15000,87,69545,11610,1246,19312,2210,14567,5602
14387,0,141,1,8,47,6,12,0,0,2301,2,1594,206,6,85,11,173,18,1,0,472,6515,0,1,0,0,22,9,113,348,0,908,203,1,581,36,567,0
266313,38,4787,49,4123,5921,322,1844,50,0,45350,354,19032,7763,438,3934,1542,6425,1917,462,0,8526,66929,386,42,47,162,4025,195,3126,11157,40,37754,4499,1054,12406,1772,9842,0
470640,68,10778,172,6254,7816,375,2405,171,0,72166,1034,27695,12126,806,6134,2084,10112,3530,921,0,11473,140004,1048,41,147,337,5799,513,4679,15280,87,70362,11717,1256,19579,2279,14750,6645
14575,0,142,1,8,48,6,12,0,0,2316,2,1617,208,8,87,11,176,18,1,0,480,6620,0,1,0,0,22,9,113,351,0,914,209,1,586,36,573,0
269747,38,4835,49,4148,6039,322,1848,50,0,45660,363,19442,7777,441,3955,1542,6442,1927,462,0,8764,67893,386,42,47,162,4104,195,3126,11443,40,38321,4536,1054,12573,1787,9934,0
472542,68,10860,172,6256,7836,386,2406,171,0,72372,1034,27921,12133,806,6153,2086,10123,3534,923,0,11695,140732,1048,41,147,337,5799,513,4691,15382,87,70483,11723,1256,19646,2282,14798,6645
14644,0,142,1,8,48,6,12,0,0,2316,2,1636,208,8,88,11,176,18,1,0,490,6651,0,1,0,0,22,9,113,353,0,915,209,1,589,36,575,0
270383,42,4858,49,4148,6047,322,1850,50,0,45861,363,19482,7788,441,3967,1544,6456,1931,462,0,8780,67999,386,42,47,162,4105,195,3129,11469,40,38375,4578,1054,12636,1787,9938,0
472685,71,10866,172,6256,7838,386,2407,171,0,72381,1034,27929,12135,806,6166,2086,10140,3540,923,0,11705,140762,1048,41,147,337,5799,513,4691,15386,87,70487,11731,1256,19662,2283,14801,6645
14649,0,142,1,8,48,6,12,0,0,2316,2,1637,208,8,88,11,176,19,1,0,490,6653,0,1,0,0,22,9,113,353,0,915,210,1,589,36,575,0
270392,42,4858,49,4148,6047,322,1850,50,0,45861,363,19482,7788,442,3967,1544,6456,1932,462,0,8780,68005,386,42,47,162,4105,195,3129,11469,40,38375,4578,1054,12636,1788,9938,0
479939,71,10994,173,6353,7987,396,2441,171,0,73405,1035,28296,12258,814,6281,2092,10255,3625,943,0,11897,143360,1059,42,147,346,5866,517,4710,15637,87,71314,11848,1258,19841,2314,15145,6964
14825,0,143,1,8,48,6,12,0,0,2329,2,1659,209,8,89,11,176,20,1,0,498,6738,0,1,0,0,22,9,113,360,0,927,214,1,604,36,581,0
273563,42,4926,49,4164,6179,324,1850,50,0,46092,364,19936,7831,449,3972,1544,6509,1935,462,0,8903,68703,386,42,47,162,4180,195,3157,11722,40,39014,4602,1056,12860,1788,10028,0
481644,71,11067,173,6353,8024,408,2441,171,0,73530,1035,28604,12261,814,6297,2094,10267,3635,943,0,12070,143957,1059,42,147,346,5873,517,4743,15713,87,71418,11855,1258,19922,2315,15173,6964
14896,0,143,1,8,48,6,12,0,0,2331,2,1675,209,8,89,11,177,20,1,0,508,6770,0,1,0,0,22,9,113,363,0,929,214,1,609,36,581,0
274253,42,4955,49,4166,6179,324,1850,50,0,46106,364,20029,7832,449,3988,1544,6518,1945,463,0,8991,68908,386,42,47,162,4181,195,3157,11766,40,39096,4637,1056,12908,1790,10038,0
481754,71,11069,173,6353,8028,408,2441,171,0,73553,1037,28612,12261,814,6302,2094,10269,3655,943,0,12070,143974,1059,42,147,346,5873,517,4743,15718,87,71426,11858,1258,19929,2316,15176,6964
14899,0,143,1,8,48,6,12,0,0,2332,2,1676,209,8,89,11,177,20,1,0,508,6771,0,1,0,0,22,9,113,363,0,929,214,1,609,36,581,0
