TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
1440,0,12,0,0,7,2,1,0,0,196,0,227,6,1,7,1,12,5,1,0,63,583,0,0,0,0,0,0,8,39,0,55,29,0,41,6,138,0
20553,16,396,0,278,646,31,98,0,0,1767,13,3346,105,65,211,118,488,211,1,0,1172,5061,27,11,0,0,376,13,83,1639,0,2297,321,0,851,200,712,0
59769,0,1138,40,929,905,47,384,12,0,8256,127,3788,1731,74,1041,294,1750,505,41,0,1351,17062,62,6,23,64,721,39,976,1903,2,8035,876,405,2387,330,2346,2119
1726,0,14,0,0,8,2,1,0,0,245,0,262,6,1,8,2,12,5,1,0,70,722,0,0,0,0,1,0,9,44,0,67,37,0,53,7,149,0
25323,16,432,0,328,759,82,123,0,0,2184,21,3690,191,75,249,187,571,233,1,0,1413,6527,27,11,0,0,499,19,109,1894,0,3158,361,0,1060,247,856,0
62740,0,1205,40,931,912,64,385,13,0,8462,127,4229,1762,75,1056,304,1772,508,41,0,1458,18046,62,6,23,64,729,39,1195,2000,2,8543,887,418,2501,331,2431,2119
1854,0,15,0,0,8,2,1,0,0,245,0,311,6,2,8,2,14,5,1,0,81,756,0,0,0,0,2,0,11,56,0,69,37,0,59,7,156,0
26618,16,497,0,328,790,82,123,0,0,2221,21,3876,193,75,266,193,581,233,1,0,1557,6881,27,11,1,0,499,19,114,1981,0,3234,404,0,1245,247,902,0
63224,0,1252,40,931,912,64,385,13,0,8484,127,4247,1782,79,1059,305,1784,521,41,0,1521,18167,62,6,23,64,730,39,1206,2035,2,8593,917,419,2528,336,2431,2119
1870,0,17,0,0,8,2,1,0,0,245,0,312,8,2,8,2,14,5,1,0,83,763,0,0,0,0,2,0,11,57,0,70,37,0,59,7,156,0
26683,16,497,0,328,796,82,123,0,0,2221,21,3877,193,75,266,193,589,236,8,0,1565,6895,28,11,1,0,499,19,114,1981,0,3239,416,0,1245,247,902,0
73632,0,1462,42,1161,1145,67,445,18,0,9804,198,4745,2137,86,1202,411,2162,629,43,0,1753,20906,87,6,23,64,903,42,1260,2288,6,10051,1123,474,2898,424,2866,2701
2167,0,17,0,0,8,2,3,0,0,298,0,341,8,2,11,2,16,6,1,0,98,883,0,0,0,0,2,0,13,70,0,89,47,0,70,7,173,0
32116,16,572,0,407,861,82,151,0,0,2570,21,4190,264,80,306,231,869,286,10,0,1795,9138,42,11,1,8,611,24,137,2123,0,3872,499,0,1505,325,1109,0
77234,0,1522,42,1162,1152,72,445,18,0,10232,198,5125,2183,87,1236,413,2182,629,43,0,1842,22139,87,6,23,64,931,42,1335,2447,6,10822,1134,496,3016,424,2978,2701
2258,0,19,0,0,8,2,3,0,0,299,0,369,9,2,11,2,16,6,1,0,107,917,0,0,0,0,2,0,15,74,0,91,47,0,74,7,177,0
33277,16,712,0,409,861,82,151,0,0,2644,21,4309,268,80,308,235,892,293,10,0,1894,9413,42,11,1,8,612,24,139,2337,0,3903,519,0,1648,325,1110,0
77806,0,1533,42,1164,1158,72,445,18,0,10283,198,5154,2216,96,1252,413,2194,638,43,0,1876,22289,87,6,23,64,933,42,1355,2489,6,10891,1174,496,3043,424,2989,2701
2285,0,20,0,0,8,2,3,0,0,301,0,371,9,2,12,2,16,6,1,0,113,929,0,0,0,0,3,0,16,74,0,92,47,0,74,7,177,0
33352,16,712,0,409,867,84,152,0,0,2648,21,4312,270,81,308,235,897,305,10,0,1904,9422,42,11,1,8,612,25,149,2337,0,3909,519,0,1648,325,1113,0
88688,0,1732,45,1372,1397,74,595,19,0,11565,231,5634,2712,107,1872,488,2433,745,47,0,2049,25296,102,9,33,73,1008,54,1448,2751,6,12406,1328,549,3476,476,3438,3119
2546,0,22,0,0,9,2,3,0,0,352,0,401,13,2,14,2,18,6,1,0,126,1020,0,0,0,0,4,0,17,83,0,110,61,0,81,9,190,0
38543,16,741,0,457,974,85,159,1,0,2983,21,4631,464,109,398,252,1056,346,10,0,2127,11346,42,11,1,8,790,26,163,2590,0,4513,551,19,1925,431,1297,0
92032,0,1788,45,1380,1405,85,595,19,0,12013,231,6022,2743,110,1890,493,2445,745,47,0,2163,26512,102,9,33,73,1022,54,1566,2861,6,12986,1343,573,3549,476,3530,3119
2650,0,24,0,0,10,2,3,0,0,353,0,430,13,2,15,2,19,6,1,0,134,1063,0,0,0,0,4,0,18,89,0,112,61,0,83,9,197,0
40018,17,792,0,457,1034,85,159,1,0,3372,21,4840,464,109,411,256,1068,351,10,0,2259,11553,42,11,1,8,791,26,177,2740,0,4544,596,19,2045,431,1328,0
92597,1,1822,45,1380,1406,85,595,19,0,12106,231,6033,2767,110,1923,493,2451,754,47,0,2214,26629,102,9,33,73,1022,54,1573,2901,6,13034,1392,573,3578,480,3538,3119
2670,0,24,0,0,10,2,3,0,0,353,0,432,13,2,15,2,20,6,1,0,137,1071,0,0,0,0,4,0,19,90,0,113,61,0,84,9,199,0
40114,17,793,0,457,1034,85,159,1,0,3373,21,4840,465,109,413,256,1071,364,10,0,2263,11591,42,11,1,8,791,26,177,2760,0,4546,596,19,2055,432,1328,0
101133,1,1976,51,1534,1583,91,719,21,0,13113,261,6510,3173,120,2121,680,2759,845,47,0,2451,29183,202,12,41,79,1160,63,1628,3178,6,14596,1484,611,3989,536,3964,2346
2941,0,24,0,0,11,2,3,0,0,415,0,463,24,2,19,2,23,7,1,0,139,1180,0,0,0,0,4,0,21,96,0,130,66,0,92,9,208,0
45285,17,835,0,605,1171,96,228,1,0,3731,23,5161,691,114,521,285,1380,375,10,0,2468,13252,48,11,1,8,890,30,199,3123,0,5074,596,19,2214,618,1490,0
104472,1,2030,51,1540,1612,102,719,21,0,13451,261,6900,3195,124,2151,702,2807,846,47,0,2540,30272,202,12,41,79,1211,64,1715,3330,6,15196,1494,641,4132,538,4094,2346
3038,0,27,0,1,11,3,3,0,0,417,0,487,25,2,19,2,23,7,1,0,146,1217,0,0,0,0,4,0,22,100,0,133,66,0,96,9,217,0
46396,17,897,0,605,1220,96,230,1,0,3820,23,5324,710,114,550,285,1390,385,11,0,2586,13421,48,11,1,8,891,32,202,3245,0,5132,630,19,2351,624,1517,0
105285,1,2045,51,1541,1631,102,727,21,0,13502,261,6976,3198,125,2177,711,2823,858,47,0,2610,30501,202,12,41,79,1217,64,1739,3410,6,15292,1512,641,4181,538,4098,2346
3084,0,29,0,1,11,3,3,0,0,420,0,489,25,2,20,3,24,7,1,0,155,1242,0,0,0,0,4,0,23,100,0,133,67,0,96,9,217,0
46466,27,901,0,605,1220,96,230,1,0,3824,23,5325,710,114,550,285,1392,398,11,0,2586,13429,48,11,1,8,891,32,206,3260,0,5138,630,19,2351,624,1520,0
115266,2,2114,51,1756,1839,108,741,23,0,14868,290,7446,3553,141,2238,837,2984,949,52,0,2821,32759,234,16,87,84,1363,68,1795,3779,12,16977,1690,667,4569,664,4470,3220
3356,0,31,0,2,13,3,4,0,0,451,0,522,31,2,23,4,26,7,1,0,161,1362,0,0,0,0,4,0,25,109,0,151,73,1,114,9,227,0
52100,27,949,1,917,1448,96,242,1,0,4328,23,5734,817,128,732,325,1556,432,11,0,2779,15093,54,11,1,10,1031,34,245,3471,3,5936,630,19,2676,665,1675,0
118441,2,2157,51,1758,1871,131,741,23,0,15092,290,7840,3581,143,2251,839,3025,951,52,0,2937,33924,234,17,87,84,1445,68,1826,3908,12,17503,1721,684,4728,668,4578,3220
3471,0,34,0,1,13,3,4,0,0,451,0,545,32,2,23,4,26,7,1,0,172,1410,0,0,0,0,5,0,27,112,0,155,74,1,122,9,238,0
53514,27,994,1,917,1499,99,247,1,0,4328,23,5953,828,129,736,362,1566,433,11,0,2910,15423,54,11,1,10,1036,34,250,3622,3,6155,654,19,2788,666,1724,0
